Year,Championship,Match,Grade,Place,Last Name,Preferred Name,Club,State,Info,Score
2014,TRA,Grand,Target Rifle - A,1,Teglasi,Mirko,Brisbane,QLD,NA,784.92
2014,TRA,Grand,Target Rifle - A,2,Cock,Nick,Bathurst Rifle Club Inc.,NSW,NA,782.85
2014,TRA,Grand,Target Rifle - A,3,Griffiths,Griffo,Grafton Rifle Club Inc.,NSW,V,782.69
2014,TRA,Grand,Target Rifle - A,4,Buchanan,Mark,Roseville Rifle Club Inc.,NSW,V,782.66
2014,TRA,Grand,Target Rifle - A,5,McGuigan,Tony,Mosman Neutral Bay,NSW,V,781.76
2014,TRA,Grand,Target Rifle - A,6,Dyer,Jan,Darwin,NT,L,776.81
2014,TRA,Grand,Target Rifle - A,7,Duncan,Gordon,Central,QLD,V,775.73
2014,TRA,Grand,Target Rifle - A,8,Walters,Mark,Launceston VDC Rifle Club,TAS,NA,771.78
2014,TRA,Grand,Target Rifle - A,9,Waddle,Glenn,Tas NW Target Rifle Club,TAS,NA,770.57
2014,TRA,Grand,Target Rifle - A,10,Paul,Nigel,Tas NW Target Rifle Club,TAS,NA,766.7
2014,TRA,Grand,Target Rifle - A,11,Dyer,Bob,Darwin,NT,V,762.63
2014,TRA,Grand,Target Rifle - A,12,Walter,Tim,Roseville Rifle Club Inc.,NSW,V,756.5
2014,TRA,Grand,Target Rifle - A,13,Harrison,Harro (Gordon),Murray Bridge,SA,V SV,752.5
2014,TRA,Grand,Target Rifle - A,14,Caske,John,Natives,QLD,V,751.49
2014,TRA,Grand,Target Rifle - A,15,Sweet,Micheil,Sandford Target Rifle Club,TAS,V SV,747.42
2014,TRA,Grand,Target Rifle - A,16,McDonald,David,Murray Bridge,SA,NA,743.52
2014,TRA,Grand,Target Rifle - A,17,Hawkins,Jim,Tas NW Target Rifle Club,TAS,NA,730.45
2014,TRA,Grand,Target Rifle - A,18,Thompson,Eric,Launceston VDC Rifle Club,TAS,NA,570.4
2014,TRA,Grand,Target Rifle - A,20,Maher,Christopher,Canberra Rifle Club,ACT,NA,474.34
2014,TRA,Grand,Target Rifle - A,19,Negus,Steve,Canberra Rifle Club,NSW,NA,487.47
2014,TRA,Grand,Target Rifle - B,1,Harris,Peter,Sandford Rifle Club Inc.,TAS,NA,755.49
2014,TRA,Grand,Target Rifle - B,2,Hope,John,Tas NW Target Rifle Club,TAS,V,742.46
2014,TRA,Grand,Target Rifle - B,3,Blacklow,Robert,Sandford Rifle Club Inc.,TAS,NA,738.46
2014,TRA,Grand,Target Rifle - B,4,Evans,Peter,Devonport/Latrobe Rifle Club,TAS,NA,463.28
2014,TRA,Grand,Target Rifle - B,5,Smith,Bob,Sandford Target Rifle Club,TAS,NA,462.29
2014,TRA,Grand,Target Rifle - B,6,Watzl,Roland,Sandford Target Rifle Club,TAS,NA,361.14
2014,TRA,Grand,Target Rifle - B,7,McGee,Bev,Campbell Town Rifle Club,TAS,L,264.1
2014,TRA,Grand,Target Rifle - C,1,Neil,Gordon,Perth - Fremantle 293,WA,NA,723.32
2014,TRA,Grand,Target Rifle - C,2,Hickman,Thomas,The Scots College,NSW,NA,460.31
2014,TRA,Grand,Target Rifle - C,3,Nicholas,William,The Scots College,NSW,NA,448.15
2014,TRA,Grand,Target Rifle - C,4,White,Barney,The Scots College,NSW,NA,441.17
2014,TRA,Grand,Target Rifle - C,5,Templeman,Benjamin,The Scots College,NSW,NA,422.2
2014,TRA,Grand,Target Rifle - C,6,Proudford,Dugald,The Scots College Rifle Club,NSW,U,406.8
2014,TRA,Grand,Target Rifle - C,7,Grogan,Hamish,The Scots College Rifle Club,NSW,U,403.21
2014,TRA,Grand,Target Rifle - C,8,Hickie,Stephen,Sandford Rifle Club Inc.,TAS,NA,399.9
2014,TRA,Grand,Target Rifle - C,9,Kelly,Alexander,The Scots College Rifle Club,NSW,U,392.11
2014,TRA,Grand,Target Rifle - C,10,Lau,James,Scotts College Rifle Club,NSW,NA,391.9
2014,TRA,Grand,Target Rifle - C,11,Hoffmann,Alexander,The Scots College Rifle Club,NSW,U,388.5
2014,TRA,Grand,F Standard - A,1,Blomfield,Jim,Bowen Rifle Club Inc.,QLD,V,920.56
2014,TRA,Grand,F Standard - A,2,Willis,Geoff,Bathurst Rifle Club Inc.,NSW,V,920.52
2014,TRA,Grand,F Standard - A,3,Mace,Ernie,Central,QLD,V SV,919.66
2014,TRA,Grand,F Standard - A,4,Brown,Warwick,Perth - Fremantle,WA,L,912.49
2014,TRA,Grand,F Standard - A,5,Tillack,Lowell,Goondiwindi,QLD,NA,910.53
2014,TRA,Grand,F Standard - A,6,Peters,John,Cessnock Rifle Club Inc.,NSW,NA,906.46
2014,TRA,Grand,F Standard - A,7,Sheedy,Terry,Beverley,WA,NA,906.43
2014,TRA,Grand,F Standard - A,8,Eland,John,Fitzroy/Caulfield,VIC,V,902.51
2014,TRA,Grand,F Standard - A,9,Sly,Daniel,Canberra Rifle Club,ACT,NA,901.52
2014,TRA,Grand,F Standard - A,10,Formiatti,Dennis,Canberra Rifle Club,ACT,NA,899.43
2014,TRA,Grand,F Standard - A,11,Hurley,Ray,Esperance,WA,NA,895.49
2014,TRA,Grand,F Standard - A,12,Halloran,Rob,Junee Ex-Services Memorial,NSW,V SV,895.41
2014,TRA,Grand,F Standard - A,13,Stehbens,Darryl,Smithton Rifle Club Inc.,TAS,V,892.5
2014,TRA,Grand,F Standard - A,14,Blocksidge,Dick,Albert District,QLD,V,889.41
2014,TRA,Grand,F Standard - A,15,Patterson,Nathan,Sandford Target Rifle Club,TAS,NA,888.48
2014,TRA,Grand,F Standard - A,16,Brown,Mary,Perth - Fremantle,WA,L,886.4
2014,TRA,Grand,F Standard - A,17,Freebairn,James,Balaklava,SA,V SV,886.36
2014,TRA,Grand,F Standard - A,18,Osborn,Noel,Rosedale,VIC,V SV,885.3
2014,TRA,Grand,F Standard - A,19,Chandler,Bill,Cobar Rifle Club Inc.,NSW,V,880.34
2014,TRA,Grand,F Standard - A,20,Collis,John,Smithton Rifle Club Inc.,TAS,NA,880.32
2014,TRA,Grand,F Standard - A,21,Johnston,Bruce,Sandford Target Rifle Club,TAS,NA,879.33
2014,TRA,Grand,F Standard - A,22,Walker,Gil,Launceston VDC Rifle Club,TAS,NA,856.3
2014,TRA,Grand,F Standard - A,23,Jarvis,Rod,Sandford Rifle Club Inc.,TAS,NA,842.26
2014,TRA,Grand,F Standard - A,24,Lang,Cory,Brisbane,NA,V,572.27
2014,TRA,Grand,F Standard - A,25,Pedersen,Bob,Wodonga,VIC,V SV,567.36
2014,TRA,Grand,F Standard - A,26,Bond,Brett,Orange Rifle Club Inc.,NSW,NA,564.27
2014,TRA,Grand,F Standard - A,27,Sandford,Daniel,Hamilton,VIC,NA,562.3
2014,TRA,Grand,F Standard - A,28,Jonker,Phil,Wangaratta,VIC,V,552.28
2014,TRA,Grand,F Standard - A,29,Larsen,Peter,Kapunda,SA,NA,548.24
2014,TRA,Grand,F Standard - A,30,Jonker,Dianne,Wangaratta,VIC,V L,545.27
2014,TRA,Grand,F Standard - B,1,Cole,Dave,Yarloop,WA,V,913.51
2014,TRA,Grand,F Standard - B,2,Dowling,Shane,Canberra Rifle Club,ACT,NA,890.38
2014,TRA,Grand,F Standard - B,3,Wilson,Murray,Ravenshoe Rifle Club Inc,QLD,V SV,876.37
2014,TRA,Grand,F Standard - B,4,McKinnell,Neville,Campbell Town Rifle Club,TAS,NA,875.37
2014,TRA,Grand,F Standard - B,5,Eland,Kay,Fitz/caulfield,VIC,V L,875.33
2014,TRA,Grand,F Standard - B,6,Henley,Mike,Esperance,WA,NA,867.31
2014,TRA,Grand,F Standard - B,7,Wilson,Liz,Ravenshoe Rifle Club Inc,QLD,V L,864.33
2014,TRA,Grand,F Standard - B,8,Daniel,Anthony,Bungendore Rifle Club,ACT,NA,842.31
2014,TRA,Grand,F Standard - B,9,Koch,Joe,Monto,QLD,V,842.2
2014,TRA,Grand,F Standard - B,10,Cruickshank,Bob,Tooraweenah Rifle Club Inc.,NSW,V,840.32
2014,TRA,Grand,F Standard - B,11,Upchurch,Gerald,Sandford Target Rifle Club,TAS,V SV,838.21
2014,TRA,Grand,F Standard - B,12,Brown,Len,North Sydney Rifle Club Inc,NSW,V,830.26
2014,TRA,Grand,F Standard - B,13,Bakker,Frank,Bungendore Rifle Club,ACT,NA,824.35
2014,TRA,Grand,F Standard - B,14,Stewart,Craig,Gilgandra Rifle Club Inc.,NSW,NA,539.21
2014,TRA,Grand,F Standard - B,15,Hunt,Brendon,Sandford Rifle Club Inc.,TAS,NA,529.14
2014,TRA,Grand,F Standard - B,16,Cowlrick,Andrew,Devonport/Latrobe Rifle Club,TAS,NA,525.13
2014,TRA,Grand,F Standard - B,17,Oliver,Phillip,Sandford Rifle Club Inc.,TAS,NA,412.16
2014,TRA,Grand,F Open - FO,1,Fraser,Alan,Rosedale,VIC,V,932.57
2014,TRA,Grand,F Open - FO,2,Bonaventura,Phillip,Mackay Rifle Club Inc.,QLD,V,931.71
2014,TRA,Grand,F Open - FO,3,Shallis,Dennis,Southern Highlands,NSW,NA,930.65
2014,TRA,Grand,F Open - FO,4,Stewart,David,Herberton Rifle Club Inc.,QLD,V,928.59
2014,TRA,Grand,F Open - FO,5,Fairbairn,Mark,Cannon Hill RSL,QLD,NA,925.65
2014,TRA,Grand,F Open - FO,6,Smith,John,Mackay Rifle Club Inc.,QLD,V,922.58
2014,TRA,Grand,F Open - FO,7,Nugent,Tim,Cessnock Rifle Club Inc.,NSW,NA,921.48
2014,TRA,Grand,F Open - FO,8,Hunt,Gary,Sth Bendigo,VIC,V,916.61
2014,TRA,Grand,F Open - FO,9,Pearce,Andrew,North Arm,QLD,V,915.48
2014,TRA,Grand,F Open - FO,10,Sutton,Colin,Goondiwindi,QLD,NA,902.42
2014,TRA,Grand,F Open - FO,11,Shallis,Louis,Southern Highlands,NSW,NA,900.46
2014,TRA,Grand,F Open - FO,12,Appleby,Bevan,Mackay Rifle Club Inc.,QLD,NA,897.4
2014,TRA,Grand,F Open - FO,13,Kinnear,Bob,Wurgabup,WA,V SV,896.4
2014,TRA,Grand,F Open - FO,14,Warrian,Greg,Tumut Rifle Club Inc,NSW,V SV,893.43
2014,TRA,Grand,F Open - FO,15,Austen,Clifford,Nowra Rifle Club Inc,NSW,V,889.31
2014,TRA,Grand,F Open - FO,16,Tamassy,Stephen,Smithton Rifle Club,TAS,NA,856.31
2014,TRA,Grand,F Open - FO,17,Bennett,Daniel,Portland,VIC,NA,616.36
2014,TRA,Grand,F Open - FO,18,McEwan,Cameron,Dalby-Tara,QLD,NA,583.45
2014,TRA,Grand,F Open - FO,19,Groves,Grant,Corryong,VIC,NA,580.36
2014,TRA,Grand,F Open - FO,20,McEwan,Julie,Dalby-Tara,QLD,L,578.43
2014,TRA,Grand,F Open - FO,21,Pohl,Adam,Kapunda,SA,NA,577.41
2014,TRA,Grand,F Open - FO,22,Smith,Peter,Herberton Rifle Club Inc.,QLD,V,577.33
2014,TRA,Grand,F Open - FO,23,Waites,Michael,Warragul/Drouin,VIC,NA,572.38
2014,TRA,Grand,F/TR - A,1,Green,Shane,Cairns Rifle Club Inc.,NA,NA,924.71
2014,TRA,Grand,F/TR - A,2,Mahon,Rod,Sth Bendigo,NA,V,924.55
2014,TRA,Grand,F/TR - A,3,Halloran,Mike,Junee,NSW,V SV,908.55
2014,TRA,Grand,F/TR - A,4,Sharp,Stephen,Bungendore Rifle Club,ACT,V,908.44
2014,TRA,Grand,F/TR - A,5,Barlow,Daryl,Ipswich & District,NA,NA,906.47
2014,TRA,Grand,F/TR - A,6,Hausler,Jenni,Brisbane,QLD,L,894.39
2014,TRA,Grand,F/TR - A,7,May,Cedric,Canberra Rifle Club,ACT,V SV,869.34
2014,TRA,Grand,F/TR - A,8,Cusick,Vicki,Cairns Rifle Club Inc.,NA,L,854.35
2014,TRA,Grand,F/TR - A,9,Seaman,Alan,Gosford District,NSW,V SV,562.24
2014,TRA,Queens,Target Rifle - A,1,Teglasi,Mirko,Brisbane,QLD,NA,489.57
2014,TRA,Queens,Target Rifle - A,2,Negus,Steve,Canberra Rifle Club,NSW,NA,487.47
2014,TRA,Queens,Target Rifle - A,3,Cock,Nick,Bathurst Rifle Club Inc.,NSW,NA,485.44
2014,TRA,Queens,Target Rifle - A,4,Buchanan,Mark,Roseville Rifle Club Inc.,NSW,V,485.43
2014,TRA,Queens,Target Rifle - A,5,McGuigan,Tony,Mosman Neutral Bay,NSW,V,484.51
2014,TRA,Queens,Target Rifle - A,6,Waddle,Glenn,Tas NW Target Rifle Club,TAS,NA,483.38
2014,TRA,Queens,Target Rifle - A,7,Griffiths,Griffo,Grafton Rifle Club Inc.,NSW,V,483.36
2014,TRA,Queens,Target Rifle - A,8,Dyer,Jan,Darwin,NT,L,482.45
2014,TRA,Queens,Target Rifle - A,9,Duncan,Gordon,Central,QLD,V,481.44
2014,TRA,Queens,Target Rifle - A,10,Dyer,Bob,Darwin,NT,V,478.41
2014,TRA,Queens,Target Rifle - A,11,Walters,Mark,Launceston VDC Rifle Club,TAS,NA,475.45
2014,TRA,Queens,Target Rifle - A,12,Paul,Nigel,Tas NW Target Rifle Club,TAS,NA,474.43
2014,TRA,Queens,Target Rifle - A,13,Maher,Christopher,Canberra Rifle Club,ACT,NA,474.34
2014,TRA,Queens,Target Rifle - A,14,Walter,Tim,Roseville Rifle Club Inc.,NSW,V,469.3
2014,TRA,Queens,Target Rifle - A,15,Harrison,Harro (Gordon),Murray Bridge,SA,V SV,466.32
2014,TRA,Queens,Target Rifle - A,16,Caske,John,Natives,QLD,V,464.28
2014,TRA,Queens,Target Rifle - A,17,McDonald,David,Murray Bridge,SA,NA,463.32
2014,TRA,Queens,Target Rifle - A,18,Sweet,Micheil,Sandford Target Rifle Club,TAS,V SV,461.27
2014,TRA,Queens,Target Rifle - A,19,Hawkins,Jim,Tas NW Target Rifle Club,TAS,NA,444.27
2014,TRA,Queens,Target Rifle - A,20,Thompson,Eric,Launceston VDC Rifle Club,TAS,NA,281.19
2014,TRA,Queens,Target Rifle - B,1,Harris,Peter,Sandford Rifle Club Inc.,TAS,NA,471.28
2014,TRA,Queens,Target Rifle - B,2,Blacklow,Robert,Sandford Rifle Club Inc.,TAS,NA,466.27
2014,TRA,Queens,Target Rifle - B,3,Evans,Peter,Devonport/Latrobe Rifle Club,TAS,NA,463.28
2014,TRA,Queens,Target Rifle - B,4,Smith,Bob,Sandford Target Rifle Club,TAS,NA,462.29
2014,TRA,Queens,Target Rifle - B,5,Hope,John,Tas NW Target Rifle Club,TAS,V,460.23
2014,TRA,Queens,Target Rifle - B,6,Watzl,Roland,Sandford Target Rifle Club,TAS,NA,361.14
2014,TRA,Queens,Target Rifle - C,1,Hickman,Thomas,The Scots College,NSW,NA,460.31
2014,TRA,Queens,Target Rifle - C,2,Neil,Gordon,Perth - Fremantle 293,WA,NA,452.21
2014,TRA,Queens,Target Rifle - C,3,Nicholas,William,The Scots College,NSW,NA,448.15
2014,TRA,Queens,Target Rifle - C,4,White,Barney,The Scots College,NSW,NA,441.17
2014,TRA,Queens,Target Rifle - C,5,Templeman,Benjamin,The Scots College,NSW,NA,422.2
2014,TRA,Queens,Target Rifle - C,6,Proudford,Dugald,The Scots College Rifle Club,NSW,U,406.8
2014,TRA,Queens,Target Rifle - C,7,Grogan,Hamish,The Scots College Rifle Club,NSW,U,403.21
2014,TRA,Queens,Target Rifle - C,8,Hickie,Stephen,Sandford Rifle Club Inc.,TAS,NA,399.9
2014,TRA,Queens,Target Rifle - C,9,Kelly,Alexander,The Scots College Rifle Club,NSW,U,392.11
2014,TRA,Queens,Target Rifle - C,10,Lau,James,Scotts College Rifle Club,NSW,NA,391.9
2014,TRA,Queens,Target Rifle - C,11,Hoffmann,Alexander,The Scots College Rifle Club,NSW,U,388.5
2014,TRA,Queens,F Standard - A,1,Willis,Geoff,Bathurst Rifle Club Inc.,NSW,V,572.32
2014,TRA,Queens,F Standard - A,2,Lang,Cory,Brisbane,NA,V,572.27
2014,TRA,Queens,F Standard - A,3,Peters,John,Cessnock Rifle Club Inc.,NSW,NA,571.3
2014,TRA,Queens,F Standard - A,4,Mace,Ernie,Central,QLD,V SV,569.36
2014,TRA,Queens,F Standard - A,5,Blomfield,Jim,Bowen Rifle Club Inc.,QLD,V,569.26
2014,TRA,Queens,F Standard - A,6,Brown,Warwick,Perth - Fremantle,WA,L,568.24
2014,TRA,Queens,F Standard - A,7,Pedersen,Bob,Wodonga,VIC,V SV,567.36
2014,TRA,Queens,F Standard - A,8,Sheedy,Terry,Beverley,WA,NA,567.24
2014,TRA,Queens,F Standard - A,9,Eland,John,Fitzroy/Caulfield,VIC,V,564.31
2014,TRA,Queens,F Standard - A,10,Bond,Brett,Orange Rifle Club Inc.,NSW,NA,564.27
2014,TRA,Queens,F Standard - A,11,Sly,Daniel,Canberra Rifle Club,ACT,NA,563.3
2014,TRA,Queens,F Standard - A,12,Stehbens,Darryl,Smithton Rifle Club Inc.,TAS,V,562.32
2014,TRA,Queens,F Standard - A,13,Sandford,Daniel,Hamilton,VIC,NA,562.3
2014,TRA,Queens,F Standard - A,14,Tillack,Lowell,Goondiwindi,QLD,NA,562.26
2014,TRA,Queens,F Standard - A,15,Formiatti,Dennis,Canberra Rifle Club,ACT,NA,562.25
2014,TRA,Queens,F Standard - A,16,Patterson,Nathan,Sandford Target Rifle Club,TAS,NA,558.32
2014,TRA,Queens,F Standard - A,17,Freebairn,James,Balaklava,SA,V SV,556.21
2014,TRA,Queens,F Standard - A,18,Hurley,Ray,Esperance,WA,NA,555.26
2014,TRA,Queens,F Standard - A,19,Jonker,Phil,Wangaratta,VIC,V,552.28
2014,TRA,Queens,F Standard - A,20,Halloran,Rob,Junee Ex-Services Memorial,NSW,V SV,550.23
2014,TRA,Queens,F Standard - A,21,Blocksidge,Dick,Albert District,QLD,V,550.23
2014,TRA,Queens,F Standard - A,22,Larsen,Peter,Kapunda,SA,NA,548.24
2014,TRA,Queens,F Standard - A,23,Chandler,Bill,Cobar Rifle Club Inc.,NSW,V,548.19
2014,TRA,Queens,F Standard - A,24,Osborn,Noel,Rosedale,VIC,V SV,546.2
2014,TRA,Queens,F Standard - A,25,Jonker,Dianne,Wangaratta,VIC,V L,545.27
2014,TRA,Queens,F Standard - A,26,Collis,John,Smithton Rifle Club Inc.,TAS,NA,545.13
2014,TRA,Queens,F Standard - A,27,Brown,Mary,Perth - Fremantle,WA,L,544.2
2014,TRA,Queens,F Standard - A,28,Johnston,Bruce,Sandford Target Rifle Club,TAS,NA,542.21
2014,TRA,Queens,F Standard - A,29,Jarvis,Rod,Sandford Rifle Club Inc.,TAS,NA,528.14
2014,TRA,Queens,F Standard - A,30,Walker,Gil,Launceston VDC Rifle Club,TAS,NA,523.13
2014,TRA,Queens,F Standard - B,1,Cole,Dave,Yarloop,WA,V,566.29
2014,TRA,Queens,F Standard - B,2,Dowling,Shane,Canberra Rifle Club,ACT,NA,555.22
2014,TRA,Queens,F Standard - B,3,Wilson,Murray,Ravenshoe Rifle Club Inc,QLD,V SV,545.2
2014,TRA,Queens,F Standard - B,4,McKinnell,Neville,Campbell Town Rifle Club,TAS,NA,541.22
2014,TRA,Queens,F Standard - B,5,Eland,Kay,Fitz/caulfield,VIC,V L,541.15
2014,TRA,Queens,F Standard - B,6,Stewart,Craig,Gilgandra Rifle Club Inc.,NSW,NA,539.21
2014,TRA,Queens,F Standard - B,7,Henley,Mike,Esperance,WA,NA,535.19
2014,TRA,Queens,F Standard - B,8,Koch,Joe,Monto,QLD,V,532.11
2014,TRA,Queens,F Standard - B,9,Hunt,Brendon,Sandford Rifle Club Inc.,TAS,NA,529.14
2014,TRA,Queens,F Standard - B,10,Wilson,Liz,Ravenshoe Rifle Club Inc,QLD,V L,529.12
2014,TRA,Queens,F Standard - B,11,Cowlrick,Andrew,Devonport/Latrobe Rifle Club,TAS,NA,525.13
2014,TRA,Queens,F Standard - B,12,Upchurch,Gerald,Sandford Target Rifle Club,TAS,V SV,517.12
2014,TRA,Queens,F Standard - B,13,Cruickshank,Bob,Tooraweenah Rifle Club Inc.,NSW,V,514.19
2014,TRA,Queens,F Standard - B,14,Daniel,Anthony,Bungendore Rifle Club,ACT,NA,511.2
2014,TRA,Queens,F Standard - B,15,Bakker,Frank,Bungendore Rifle Club,ACT,NA,509.23
2014,TRA,Queens,F Standard - B,16,Brown,Len,North Sydney Rifle Club Inc,NSW,V,509.14
2014,TRA,Queens,F Standard - B,17,Oliver,Phillip,Sandford Rifle Club Inc.,TAS,NA,99.4
2014,TRA,Queens,F Open - FO,1,Fairbairn,Mark,Cannon Hill RSL,QLD,NA,593.48
2014,TRA,Queens,F Open - FO,2,Fraser,Alan,Rosedale,VIC,V,586.35
2014,TRA,Queens,F Open - FO,3,McEwan,Cameron,Dalby-Tara,QLD,NA,583.45
2014,TRA,Queens,F Open - FO,4,Groves,Grant,Corryong,VIC,NA,580.36
2014,TRA,Queens,F Open - FO,5,Smith,John,Mackay Rifle Club Inc.,QLD,V,579.4
2014,TRA,Queens,F Open - FO,6,McEwan,Julie,Dalby-Tara,QLD,L,578.43
2014,TRA,Queens,F Open - FO,7,Stewart,David,Herberton Rifle Club Inc.,QLD,V,578.35
2014,TRA,Queens,F Open - FO,8,Pohl,Adam,Kapunda,SA,NA,577.41
2014,TRA,Queens,F Open - FO,9,Smith,Peter,Herberton Rifle Club Inc.,QLD,V,577.33
2014,TRA,Queens,F Open - FO,10,Shallis,Dennis,Southern Highlands,NSW,NA,576.39
2014,TRA,Queens,F Open - FO,11,Bonaventura,Phillip,Mackay Rifle Club Inc.,QLD,V,576.35
2014,TRA,Queens,F Open - FO,12,Nugent,Tim,Cessnock Rifle Club Inc.,NSW,NA,574.32
2014,TRA,Queens,F Open - FO,13,Waites,Michael,Warragul/Drouin,VIC,NA,572.38
2014,TRA,Queens,F Open - FO,14,Hunt,Gary,Sth Bendigo,VIC,V,568.35
2014,TRA,Queens,F Open - FO,15,Pearce,Andrew,North Arm,QLD,V,568.27
2014,TRA,Queens,F Open - FO,16,Bennett,Daniel,Portland,VIC,NA,566.3
2014,TRA,Queens,F Open - FO,17,Kinnear,Bob,Wurgabup,WA,V SV,564.26
2014,TRA,Queens,F Open - FO,18,Appleby,Bevan,Mackay Rifle Club Inc.,QLD,NA,562.29
2014,TRA,Queens,F Open - FO,19,Sutton,Colin,Goondiwindi,QLD,NA,561.26
2014,TRA,Queens,F Open - FO,20,Shallis,Louis,Southern Highlands,NSW,NA,556.24
2014,TRA,Queens,F Open - FO,21,Warrian,Greg,Tumut Rifle Club Inc,NSW,V SV,556.23
2014,TRA,Queens,F Open - FO,22,Austen,Clifford,Nowra Rifle Club Inc,NSW,V,555.19
2014,TRA,Queens,F Open - FO,23,Tamassy,Stephen,Smithton Rifle Club,TAS,NA,545.2
2014,TRA,Queens,F/TR - A,1,Mahon,Rod,Sth Bendigo,NA,V,575.31
2014,TRA,Queens,F/TR - A,2,Green,Shane,Cairns Rifle Club Inc.,NA,NA,573.39
2014,TRA,Queens,F/TR - A,3,Halloran,Mike,Junee,NSW,V SV,571.34
2014,TRA,Queens,F/TR - A,4,Barlow,Daryl,Ipswich & District,NA,NA,566.27
2014,TRA,Queens,F/TR - A,5,Sharp,Stephen,Bungendore Rifle Club,ACT,V,562.27
2014,TRA,Queens,F/TR - A,6,Hausler,Jenni,Brisbane,QLD,L,562.26
2014,TRA,Queens,F/TR - A,7,Seaman,Alan,Gosford District,NSW,V SV,562.24
2014,TRA,Queens,F/TR - A,8,May,Cedric,Canberra Rifle Club,ACT,V SV,543.18
2014,TRA,Queens,F/TR - A,9,Cusick,Vicki,Cairns Rifle Club Inc.,NA,L,530.23
2014,TRA,Leadup,Target Rifle - A,1,Griffiths,Griffo,Grafton Rifle Club Inc.,NSW,V,299.33
2014,TRA,Leadup,Target Rifle - A,2,Cock,Nick,Bathurst Rifle Club Inc.,NSW,NA,297.41
2014,TRA,Leadup,Target Rifle - A,3,McGuigan,Tony,Mosman Neutral Bay,NSW,V,297.25
2014,TRA,Leadup,Target Rifle - A,4,Buchanan,Mark,Roseville Rifle Club Inc.,NSW,V,297.23
2014,TRA,Leadup,Target Rifle - A,5,Walters,Mark,Launceston VDC Rifle Club,TAS,NA,296.33
2014,TRA,Leadup,Target Rifle - A,6,Teglasi,Mirko,Brisbane,QLD,NA,295.35
2014,TRA,Leadup,Target Rifle - A,7,Dyer,Jan,Darwin,NT,L,294.36
2014,TRA,Leadup,Target Rifle - A,8,Duncan,Gordon,Central,QLD,V,294.29
2014,TRA,Leadup,Target Rifle - A,9,Paul,Nigel,Tas NW Target Rifle Club,TAS,NA,292.27
2014,TRA,Leadup,Target Rifle - A,10,Thompson,Eric,Launceston VDC Rifle Club,TAS,NA,289.21
2014,TRA,Leadup,Target Rifle - A,11,Caske,John,Natives,QLD,V,287.21
2014,TRA,Leadup,Target Rifle - A,12,Walter,Tim,Roseville Rifle Club Inc.,NSW,V,287.2
2014,TRA,Leadup,Target Rifle - A,13,Waddle,Glenn,Tas NW Target Rifle Club,TAS,NA,287.19
2014,TRA,Leadup,Target Rifle - A,14,Harrison,Harro (Gordon),Murray Bridge,SA,V SV,286.18
2014,TRA,Leadup,Target Rifle - A,15,Hawkins,Jim,Tas NW Target Rifle Club,TAS,NA,286.18
2014,TRA,Leadup,Target Rifle - A,16,Sweet,Micheil,Sandford Target Rifle Club,TAS,V SV,286.15
2014,TRA,Leadup,Target Rifle - A,17,Dyer,Bob,Darwin,NT,V,284.22
2014,TRA,Leadup,Target Rifle - A,18,McDonald,David,Murray Bridge,SA,NA,280.2
2014,TRA,Leadup,Target Rifle - B,1,Harris,Peter,Sandford Rifle Club Inc.,TAS,NA,284.21
2014,TRA,Leadup,Target Rifle - B,2,Hope,John,Tas NW Target Rifle Club,TAS,V,282.23
2014,TRA,Leadup,Target Rifle - B,3,Blacklow,Robert,Sandford Rifle Club Inc.,TAS,NA,272.19
2014,TRA,Leadup,Target Rifle - B,4,McGee,Bev,Campbell Town Rifle Club,TAS,L,264.1
2014,TRA,Leadup,Target Rifle - C,1,Neil,Gordon,Perth - Fremantle 293,WA,NA,271.11
2014,TRA,Leadup,F Standard - A,1,Blomfield,Jim,Bowen Rifle Club Inc.,QLD,V,351.3
2014,TRA,Leadup,F Standard - A,2,Mace,Ernie,Central,QLD,V SV,350.3
2014,TRA,Leadup,F Standard - A,3,Tillack,Lowell,Goondiwindi,QLD,NA,348.27
2014,TRA,Leadup,F Standard - A,4,Willis,Geoff,Bathurst Rifle Club Inc.,NSW,V,348.2
2014,TRA,Leadup,F Standard - A,5,Halloran,Rob,Junee Ex-Services Memorial,NSW,V SV,345.18
2014,TRA,Leadup,F Standard - A,6,Brown,Warwick,Perth - Fremantle,WA,L,344.25
2014,TRA,Leadup,F Standard - A,7,Brown,Mary,Perth - Fremantle,WA,L,342.2
2014,TRA,Leadup,F Standard - A,8,Blocksidge,Dick,Albert District,QLD,V,339.18
2014,TRA,Leadup,F Standard - A,9,Osborn,Noel,Rosedale,VIC,V SV,339.1
2014,TRA,Leadup,F Standard - A,10,Sly,Daniel,Canberra Rifle Club,ACT,NA,338.22
2014,TRA,Leadup,F Standard - A,11,Eland,John,Fitzroy/Caulfield,VIC,V,338.2
2014,TRA,Leadup,F Standard - A,12,Formiatti,Dennis,Canberra Rifle Club,ACT,NA,337.18
2014,TRA,Leadup,F Standard - A,13,Johnston,Bruce,Sandford Target Rifle Club,TAS,NA,337.12
2014,TRA,Leadup,F Standard - A,14,Collis,John,Smithton Rifle Club Inc.,TAS,NA,335.19
2014,TRA,Leadup,F Standard - A,15,Peters,John,Cessnock Rifle Club Inc.,NSW,NA,335.16
